Site,Depth_m,Depth_group2,Depth_group,Habitat,Habitat_simplified,Aspect_descriptive,browser,cleaner,corallivore,cropper,detritivore,excavator,invertivore-mobile,invertivore-sessile,macro-invertivore,micro-invertivore,NA,omnivore,pisci-invertivore,piscivore,planktivore,scraper,spongivore
FLIN-01,35.2,40,Upper_meso,outer_reef,outer_slope,wall,0,0,100.5937448,134.3023633,99.81169733,0,0,0,0,99.38332948,66.19304897,0,323.1742041,0,396.5852879,0,0
FLIN-01,35.6,40,Upper_meso,outer_reef,outer_slope,steep_slope,1232.921674,0,0,654.2463621,128.2608583,0,0,0,574.4012427,567.8283411,462.8279756,0,77574.22801,5697.075446,7227.091229,0,0
FLIN-01,37.1,40,Upper_meso,outer_reef,outer_slope,wall,0,0,7.787783304,0,133.8483888,967.9655767,0,0,7958.548304,252.325783,98.36482408,0,0,14635.58015,932.8203553,762.4956061,0
FLIN-01,41.5,50,Upper_meso,outer_reef,outer_slope,steep_slope,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FLIN-01,42.1,50,Upper_meso,outer_reef,outer_slope,wall,0,0,90.98638132,105.0191009,0,0,0,0,0,0,88.23948287,0,26.61334276,0,5076.227628,0,0
FLIN-01,45.2,50,Upper_meso,outer_reef,outer_slope,wall,0,0,39.50773575,0,0,4746.954226,0,0,0,0,0,0,0,88719.51719,14424.57605,0,0
FLIN-01,45.4,50,Upper_meso,outer_reef,outer_slope,wall,0,0,0,0,0,0,0,0,0,0,20.71503596,0,6379.984872,0,60.99218154,0,0
FLIN-01,45.7,50,Upper_meso,outer_reef,outer_slope,gentle_slope,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FLIN-01,51.1,60,Upper_meso,outer_reef,outer_slope,gentle_slope,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FLIN-01,67.1,70,Lower_meso,outer_reef,outer_slope,gentle_slope,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FLIN-01,72.3,80,Lower_meso,outer_reef,outer_slope,gentle_slope,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FLIN-01,77.4,80,Lower_meso,outer_reef,outer_slope,gentle_slope,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FLIN-01,81.9,90,Lower_meso,outer_reef,outer_slope,gentle_slope,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FLIN-01,87.2,90,Lower_meso,outer_reef,outer_slope,gentle_slope,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FLIN-01,91.9,100,Lower_meso,outer_reef,outer_slope,gentle_slope,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
