Site,Depth_m,Temperature,Habitat,Habitat_simplified,Aspect_descriptive,Aspect_scale,Benthic_Complexity,browser,cleaner,corallivore,cropper/grazer,detritivore,excavator,macro-invertivore,micro-invertivore,NA,pisci-invertivore,piscivore,planktivore,scraper,spongivore,omnivore,invertivore-sessile,invertivore-mobile,All_herbs
BOUG-01,65,27.5,outer_reef,outer_slope,steep_slope,3,5,0,0,2,1,0,0,0,9,3,5,2,53,0,1,0,0,0,1
BOUG-01,66.3,26.5,outer_reef,outer_slope,steep_slope,3,4,0,0,0,3,1,0,23,14,2,6,0,226,0,0,0,0,0,4
BOUG-01,66.3,27.5,outer_reef,outer_slope,wall,4,5,0,0,0,0,0,0,2,5,5,7,0,64,0,0,0,0,0,0
BOUG-01,66.7,27.5,outer_reef,outer_slope,wall,4,5,0,0,0,1,0,0,1,8,3,6,0,114,1,0,0,0,0,2
BOUG-01,67.3,27.8,outer_reef,outer_slope,steep_slope,3,5,0,0,0,0,0,0,0,5,9,7,0,111,0,0,0,0,0,0
BOUG-01,67.8,27.5,outer_reef,outer_slope,wall,4,5,0,0,1,0,0,0,3,8,27,1,0,179,4,0,0,0,0,4
BOUG-01,71.4,26.3,outer_reef,outer_slope,steep_slope,3,4,0,0,0,0,0,0,0,3,3,5,0,157,0,0,0,0,0,0
BOUG-01,76.4,26.2,outer_reef,outer_slope,steep_slope,3,4,0,0,0,2,0,0,0,4,4,1,1,232,0,0,0,0,0,2
BOUG-01,81.9,26.2,outer_reef,outer_slope,steep_slope,3,4,0,0,0,1,0,0,4,9,0,3,0,413,0,0,0,0,0,1
BOUG-01,85.7,26.2,outer_reef,outer_slope,wall,4,3.5,0,0,0,2,0,0,0,1,21,0,0,169,0,0,0,0,0,2
BOUG-01,90.9,26.2,outer_reef,outer_slope,wall,4,3,0,0,0,0,0,0,0,4,5,0,0,97,0,0,0,0,0,0
BOUG-01,91.1,26.1,outer_reef,outer_slope,wall,4,3,0,0,0,0,0,0,0,0,5,2,0,33,0,0,0,0,0,0
BOUG-01,98.5,25.6,outer_reef,outer_slope,wall,4,2,0,0,0,0,0,0,0,1,1,3,0,20,0,0,0,0,0,0
BOUG-02,9.8,30,outer_reef,outer_slope,steep_slope,3,2,0,0,2,2,0,0,0,2,1,1,0,29,1,0,4,0,0,3
BOUG-02,13.4,30,outer_reef,outer_slope,steep_slope,3,2.5,1,0,1,2,3,0,0,3,1,4,1,88,3,0,0,0,0,9
BOUG-02,15.4,30,outer_reef,outer_slope,moderate_slope,2,3,0,0,0,2,0,1,0,2,0,0,1,38,0,0,9,0,0,3
BOUG-02,22.3,30,outer_reef,outer_slope,steep_slope,3.5,2.5,1,0,2,4,0,1,1,4,1,7,1,128,4,0,0,1,0,10
BOUG-02,24.2,29.9,outer_reef,outer_slope,wall,4,2.5,0,0,0,2,0,0,1,0,1,2,0,103,0,0,0,0,0,2
BOUG-02,24.8,29.9,outer_reef,outer_slope,steep_slope,3,3,0,0,2,1,1,1,1,4,2,0,0,165,0,0,0,0,0,3
BOUG-02,27.3,29.9,outer_reef,outer_slope,wall,4,2.5,0,0,2,1,1,0,0,3,1,2,0,128,4,0,0,1,0,6
BOUG-02,28.4,29.9,outer_reef,outer_slope,wall,4,2.5,0,0,3,2,1,1,0,5,0,0,0,154,0,0,0,0,0,4
BOUG-02,31.1,29.4,outer_reef,outer_slope,moderate_slope,2,3,0,0,1,7,1,2,1,6,1,0,0,204,9,0,0,0,0,19
BOUG-02,32.5,29.2,outer_reef,outer_slope,steep_slope,3.5,3,0,0,0,2,2,0,2,4,0,1,0,126,11,0,0,0,0,15
BOUG-02,33.1,29.3,outer_reef,outer_slope,wall,4,3,0,0,0,0,0,0,4,2,0,1,0,293,1,0,0,0,0,1
BOUG-02,35.1,29,outer_reef,outer_slope,wall,4,3,0,0,0,0,0,0,1,0,1,0,0,148,0,0,0,0,0,0
BOUG-02,37.2,28.8,outer_reef,outer_slope,wall,4,2.5,0,0,2,0,0,0,0,2,0,1,0,266,0,0,0,0,0,0
BOUG-02,44.9,28.1,outer_reef,outer_slope,wall,4,2.5,0,0,0,1,0,0,2,3,2,1,0,70,0,0,0,0,0,1
BOUG-02,45,28.1,outer_reef,outer_slope,moderate_slope,2,3,0,0,2,4,0,0,2,4,0,1,0,170,0,0,0,0,0,4
BOUG-02,45.8,28.1,outer_reef,outer_slope,steep_slope,3,2.5,0,0,0,1,2,0,1,6,0,0,0,106,0,0,0,0,0,3
BOUG-02,47,28.1,outer_reef,outer_slope,steep_slope,3,2.5,0,0,0,0,0,0,1,2,0,0,0,113,0,0,0,0,0,0
BOUG-02,47.6,28.1,outer_reef,outer_slope,steep_slope,3,3,0,0,0,2,0,0,0,3,0,1,0,133,0,0,0,0,0,2
BOUG-02,52.1,28,outer_reef,outer_slope,steep_slope,3,3,1,0,2,2,1,0,2,5,0,1,0,106,0,0,1,0,0,4
BOUG-02,53.6,27.7,outer_reef,outer_slope,moderate_slope,2,3.5,0,0,0,2,0,1,12,5,1,2,0,111,0,0,0,0,0,3
BOUG-02,55.3,27.6,outer_reef,outer_slope,moderate_slope,2,3.5,1,0,0,4,5,2,0,6,0,1,0,184,2,0,0,0,0,14
BOUG-02,57.7,27.2,outer_reef,outer_slope,moderate_slope,2,3.5,0,0,0,1,0,0,0,2,0,1,1,83,0,0,0,0,0,1
BOUG-02,58.4,27.2,outer_reef,outer_slope,moderate_slope,2,3.5,0,0,0,1,0,0,0,5,0,0,0,158,0,0,0,0,0,1
BOUG-02,63,27.3,outer_reef,outer_slope,wall,4,3,0,0,1,0,2,0,1,2,0,0,0,160,0,0,0,0,0,2
BOUG-02,63.8,27.3,outer_reef,outer_slope,steep_slope,3,3,0,0,0,0,0,0,4,4,1,1,1,182,0,0,0,0,0,0
BOUG-02,64.5,27.3,outer_reef,outer_slope,steep_slope,3,3,0,0,0,0,0,1,2,15,3,1,1,178,3,0,0,0,0,4
BOUG-02,67.1,27.2,outer_reef,outer_slope,steep_slope,3,3,0,0,2,3,0,2,1,6,2,4,0,322,0,0,0,0,0,5
CHIL-01,36.5,28.3,lagoon,lagoon,flat,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
EDIA-01,10,25.91,bommie,lagoon,wall,4,2,0,0,0,4,0,2,3,1,0,1,8,104,0,0,4,0,0,6
EDIA-01,15,25.91,bommie,lagoon,moderate_slope,2,2,0,0,0,1,0,0,0,0,0,1,34,13,0,0,0,0,0,1
EDIA-01,15,25.91,bommie,lagoon,wall,4,2,0,0,0,2,0,0,0,2,0,0,0,35,0,0,3,0,0,2
EDIA-01,19,25.89,bommie,lagoon,wall,4,2,0,0,0,3,0,0,0,0,0,1,18,81,0,0,1,0,0,3
EDIA-01,21,25.85,bommie,lagoon,moderate_slope,2,2,3,0,0,11,0,0,2,5,0,3,67,62,0,0,3,0,0,14
EDIA-01,25,25.85,bommie,lagoon,gentle_slope,1,2,0,0,0,6,0,0,1,2,0,1,0,25,1,0,0,0,0,7
EDIA-01,26,25.99,bommie,lagoon,moderate_slope,2,2,0,0,1,9,0,0,0,5,1,2,0,56,2,0,0,0,0,11
EDIA-01,32,25.9,bommie,lagoon,gentle_slope,1,2,2,0,0,16,0,1,2,5,0,0,1,221,3,1,3,0,0,22
EDIA-01,38,25.93,bommie,lagoon,gentle_slope,1,2,0,0,2,19,0,0,2,2,0,1,2,28,0,0,0,0,0,19
EDIA-01,39,25.99,bommie,lagoon,gentle_slope,1,2,0,0,0,12,0,0,7,8,1,0,0,19,0,2,0,0,0,12
EDIA-01,45,25.98,bommie,lagoon,gentle_slope,1,2,0,0,0,13,0,0,3,3,0,21,1,18,0,1,0,0,0,13
