Site,Depth_Group2,Aspect_descriptive,Aspect_descriptive2,Kyphosus cinerascens,Kyphosus vaigiensis,Naso brachycentron,Naso lituratus,Naso tonganus,Naso unicornis, Acanthurus auranticavus,Acanthurus blochii,Acanthurus dussumieri,Acanthurus fowleri, Acanthurus grammoptilus,Acanthurus guttatus,Acanthurus leucocheilus,Acanthurus lineatus,Acanthurus nigricans,Acanthurus nigricauda,Acanthurus nigrofuscus,Acanthurus nigroris,Acanthurus pyroferus,Acanthurus triostegus,Acanthurus xanthopterus,Centropyge bicolor,Scarus tricolor,Scarus spinus,Scarus schlegeli, Scarus rivulatus,Scarus psittacus,Scarus oviceps,Scarus niger,Scarus longipinnis,Scarus globiceps,Scarus ghobban,Scarus frenatus,Scarus forsteni,Scarus flavipectoralis,Scarus festivus,Scarus chameleon,Scarus dimidiatus,Scarus altipinnis,Scarus rubroviolaceus,Chlorurus spilurus,Chlorurus microrhinos,Chlorurus frontalis,Chlorurus bleekeri,Cetoscarus ocellatus,Bolbometopon muricatum,Ctenochaetus striatus,Ctenochaetus cyanocheilus,Ctenochaetus binotatus,Acanthurus olivaceus,Zebrasoma velifer,Zebrasoma scopas,Stegastes fasciolatus,Siganus stellatus,Siganus punctatissimus,Siganus fuscescens,Siganus argenteus,Plectroglyphidodon lacrymatus,Plectroglyphidodon johnstonianus,Hipposcarus longiceps,Centropyge vrolikii,Centropyge tibicen,Centropyge loriculus,Centropyge heraldi,Centropyge flavissima,Centropyge bispinosa
SWCA-01,Shallow,moderate_slope,slope,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,1,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,5,0,0,0,4,0,2
SWCA-01,Shallow,steep_slope,slope,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2
SWCA-01,Upper_meso,gentle_slope,slope,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
SWCA-01,Upper_meso,moderate_slope,slope,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2
SWCA-01,Upper_meso,steep_slope,slope,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
TURT-01,Lower_meso,wall,wall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TURT-01,Upper_meso,wall,wall,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
WILL-01,Upper_meso,gentle_slope,slope,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0
WILL-01,Upper_meso,steep_slope,slope,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,17,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,2,3,0,0,1,0,0,0,0,0,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,3,0
WREC-01,Upper_meso,gentle_slope,slope,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,16,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,18,0,2,7,0,2,0,0,0,0,0,0,0,0,1,0,0,5,0,0
